
Informatik
Bachelor of Science (B.Sc.)

Art des Studiums: Vollzeit

Regelstudienzeit: 6 Semester

Credits: 180 ECTS



https://academics.nat.tum.de/org/mh/details/mod/$m


$m	Beschreibung	Credits	Semester
# Grundlagenphase (Semester 1-4)
IN0001	Einführung in die Informatik	6	1
IN0004	Einführung in die Rechnerarchitektur	8	1
IN0015	Diskrete Strukturen	8	1
IN0002	Grundlagenpraktikum: Programmierung	6	1
IN0006	Einführung in die Softwaretechnik	6	2
IN0007	Grundlagen: Algorithmen und Datenstrukturen	6	2
IN0003	Funktionale Programmierung und Verifikation	5	2
MA0901	Lineare Algebra für Informatik	8	2
IN0005	Grundlagenpraktikum: Rechnerarchitektur	5	2
IN0008	Grundlagen: Datenbanken	6	3
IN0009	Grundlagen: Betriebssysteme und Systemsoftware	5	3
IN0042	IT-Sicherheit	5	3
MA0902	Analysis für Informatik	8	3
IN0010	Grundlagen: Rechnernetze und Verteilte Systeme	6	4
IN0011	Einführung in die Theoretische Informatik	8	4
IN0018	Diskrete Wahrscheinlichkeitstheorie	6	4
IN0014	Seminar	5	4
# Vertiefungsphase (Semester 5-6)
Wahlmodule	Informatik ***	5	5
IN0019	Numerisches Programmieren	6	5
IN0012	Bachelor-Praktikum	10	5
Wahlmodule	Informatik ***	13	6
# Abschluss
# CIT000000	Bachelorarbeit	12	6
