https://academics.nat.tum.de/org/mh/details/mod/$m


https://www.cit.tum.de/cit/studium/studiengaenge/bachelor-mathematik/studieninhalte/
https://www.cit.tum.de/fileadmin/w00byx/cit/Studium/Studiengaenge/Bachelor_Mathematik/Studienplan_Bachelor_2023_V2.pdf
https://www.cit.tum.de/fileadmin/w00byx/cit/Studium/Studiengaenge/Bachelor_Mathematik/TracksFPSO2023.pdf

$m          Beschreibung (imported: *)
MA0001      Analysis 1 *
MA0004      Lineare Algebra 1 *
MA0007      Mathematische Grundlagen *
MA0006      Mathematisches Studieren *
MA0002      Analysis 2 *
CIT1130005   Lineare Algebra 2 *
CIT1130011   Diskrete Mathematik *
MA0003      Analysis 3 *
MA0008      Numerik *
MA0009      Einführung in die Wahrscheinlichkeitstheorie und Statistik *
MA0010      Einführung in die Programmierung *
MA2012      Einführung in die Optimierung *
MA2010      Algebra *
MA2011      Geometrie *
MA2006      Funktionentheorie *
MA3001      Funktionalanalysis *
MA3005      Partielle Differentialgleichungen *
MA3080      Nichtlineare Dynamik: Grundlagen *
MA3081      Dynamische Systeme *
MA3203      Projektive Geometrie 1 *
MA3204      Projektive Geometrie 2 *
MA3301      Numerik der Differentialgleichungen *
MA3303      Numerical Methods for Partial Differential Equations *
MA2409      Probability Theory *
MA2404      Markovketten *
CIT413041   Discrete Optimization *
MA3503      Nichtlineare Optimierung *
MA3407      Financial Mathematics 1 *
MA3405      Insurance Mathematics 1 *
MA3406      Insurance Mathematics 2 *
MA3409      Applied Regression *
MA3404      Statistical Computing *
MA2902      Fallstudien der mathematischen Modellbildung *
MA3601      Mathematical Models in Biology *
MA3602      Applications of Mathematical Biology *
CIT123000   Einführung in die Informatik für Studierende der Mathematik *
IN0001      Einführung in die Informatik *
IN0002      Grundlagenpraktikum: Programmierung *
MA0005      Lineare Algebra 2 und Diskrete Strukturen *
