Bachelor of Science (B.Sc.)
Physik

180 ECTS



https://academics.nat.tum.de/org/mh/details/mod/$m


https://academics.nat.tum.de/bsc/ph/curriculum

$m	Beschreibung	Credits	Semester
# Grundlagenphase (Semester 1-4)
## 1. Semester
PH0001	Experimentalphysik 1 (Mechanik)	9	1
CIT513016	Lineare Algebra für Physik	8	1
CIT513017	Analysis 1 für Physik	8	1
PH0009	Anfängerpraktikum Teil 1	5	1
## 2. Semester
PH0002	Experimentalphysik 2 (Elektromagnetismus)	9	2
PH0005	Theoretische Physik 1 (Klassische Mechanik)	8	2
CIT513018	Analysis 2 für Physik	8	2
PH0010	Anfängerpraktikum Teil 2	5	2
## 3. Semester
PH0003	Experimentalphysik 3 (Optik und Quantenphysik)	8	3
PH0006	Theoretische Physik 2 (Elektrodynamik)	8	3
CIT513019	Analysis 3 für Physik	8	3
# Wahlkatalog technische Grundlagen	5	3
## 4. Semester
PH0004	Experimentalphysik 4 (Atomphysik und Thermodynamik)	8	4
PH0007	Theoretische Physik 3 (Quantenmechanik)	9	4
CH1104	Chemie für Physiker	6	4
# Allgemeinbildende Fächer (offener Wahlkatalog)	3	4
PH0011	Anfängerpraktikum Teil 3	5	4
# Vertiefungsphase (Semester 5-6)
## 5. Semester
PH0008	Theoretische Physik 4A (Thermodynamik und statistische Mechanik)	9	5
PH0031	Fachspezifische Schlüsselqualifikationen	10	5
### Fortgeschrittene Experimentalphysik (13 CP, Wahlkatalog KTA + KM)
#### Katalog Kern-, Teilchen- und Astrophysik (KTA)
PH0014	Kern-, Teilchen- und Astrophysik 1 (KTA Expert 1)	8	WS
PH0016	Einführung in die Kern-, Teilchen- und Astrophysik (KTA Intro)	5	WS
PH8016	Introduction to Nuclear, Particle, and Astrophysics	5	SS
#### Katalog Physik der kondensierten Materie (KM)
PH0017	Physik der kondensierten Materie 1 (KM Expert 1)	8	WS
PH0019	Einführung in die Physik der kondensierten Materie (KM Intro)	5	WS
PH8019	Introduction to Condensed Matter Physics	5	SS
### Physikalisches Ergänzungsfach (5 CP)
PH0023	Einführung in die Biophysik (BIO Intro)	5	WS
PH0024	Ergänzungen zur Quantenmechanik (QM*)	5	WS
## 6. Semester
### Physikalische Vertiefung (8 CP)
PH0015	Kern-, Teilchen- und Astrophysik 2 (KTA Expert 2)	8	SS
PH0018	Physik der kondensierten Materie 2 (KM Expert 2)	8	SS
PH0020	Biophysik (BIO)	8	SS
PH0021	Energiewissenschaften	4	SS
PH0022	Materialwissenschaften	4	SS
# Abschluss
PH0041	Bachelorarbeit	12	6
PH0040	Bachelorkolloquium	3	6
