https://academics.nat.tum.de/org/mh/details/mod/$m





Masterstudiengang Theoretische und Mathematische Physik
https://academics.nat.tum.de/msc/tmp

$m          Beschreibung
CIT4100004  Concentration of Measure
ED110065    Maschinelles Lernen in der Erdsystemmodellierung
ED110088    Mathematik der Klima- und Erdsystemwissenschaften
ED110153    Advanced Earth System Modeling and Continental Hydrology
MA2409      Probability Theory
MA2902      Fallstudien der mathematischen Modellbildung
MA5417      Large Deviations
NAT3001     Quantenmechanik 2
NAT3002     Fortgeschrittene statistische Physik
NAT3031     Computergestützte Materialphysik
PH1001      Theoretische Festkörperphysik
PH1007      Kontinuumsmechanik
PH1008      Quantenfeldtheorie (TMP)
PH2027      Nichtlineare Dynamik und komplexe Systeme 1
PH2041      Quantenfeldtheorie
PH2043      Allgemeine Relativitätstheorie und Kosmologie
PH2057      Rechnergestützte Physik 1
PH2116      Gruppentheorie in der Physik
PH2122      Effektive Feldtheorien
PH2242      Gravitationslinseneffekt
PH2248      Kosmologie und Strukturbildung
PH2256      Quanten-Vielteilchenphysik
