https://academics.nat.tum.de/org/mh/details/mod/$m

$m          Beschreibung
NAT3034     Quantum Hardware
NAT3035     Quantum Information
CH3034      Quantum Mechanical Basics of NMR-Spectroscopy
CH3337      Symmetry and Group Theory
CIT4330012  Software for Quantum Computing
CIT4330013  Solid-State Micro- and Nanosystems
CIT4430005  Photonic Quantum Technologies
EI70760     Simulation of Quantum Devices
EI76471     Quantum Information Theory
EI77006     Current Topics in Photonic Quantum Technologies
IN2381      Introduction to Quantum Computing
IN2388      Tensor Networks
IN2400      Advanced Concepts of Quantum Computing
MA3001      Functional Analysis
NAT3011     Advanced Topics in Quantum Information Theory
NAT3013     Theoretical Quantum Optics
NAT3036     Quantum Computing with Superconducting Qubits: Basic Concepts
NAT5008m    Current Topics in Quantum Networks
NAT5018m    Entanglement in Many-Body System
NAT5020m    Theoretical Solid-State Physics
NAT5030m    Physical Properties of Nano-Systems
NAT5040m    Seminar: Topics of Quantum Computing
NAT7001     Quantum Optics
NAT7003     Ultra-Cold Quantum Gases
NAT7011     Condensed Matter Many-Body Physics and Field Theory 2
NAT7026     Introduction to Graphene and 2D Materials
NAT7030     Quantum Mechanics of Many-Body Systems
PH2127      Surface Physics
PH2141      Nanotechnology
