Front;Back;LessonID;TopicTags;Family;Category
Now;Jetzt;1;time;now;Lesson 1: Zeit
At the moment;Im Moment;1;time;at the moment;Lesson 1: Zeit
Every day;Jeden Tag;1;time;every day;Lesson 1: Zeit
Today;Heute;1;time;today;Lesson 1: Zeit
Usually;Normalerweise;1;time;usually;Lesson 1: Zeit
Right now;Genau jetzt;1;time;right now;Lesson 1: Zeit
To wait;Warten;1;verbs;to wait;Lesson 1: Aktivität
To sit;Sitzen;1;verbs;to sit;Lesson 1: Aktivität
To stand;Stehen;1;verbs;to stand;Lesson 1: Aktivität
To talk;Reden;1;verbs;to talk;Lesson 1: Aktivität
Yesterday;Gestern;2;time;yesterday;Lesson 2: Vergangenheit
Last week;Letzte Woche;2;time;last week;Lesson 2: Vergangenheit
Last year;Letztes Jahr;2;time;last year;Lesson 2: Vergangenheit
Was;War (ich/er/sie/es);2;grammar;was;Lesson 2: Grammatik
Were;Waren/Warst (du/wir/sie);2;grammar;were;Lesson 2: Grammatik
Interesting;Interessant;2;adjectives;interesting;Lesson 2: Adjektive
Boring;Langweilig;2;adjectives;boring;Lesson 2: Adjektive
Beautiful;Schön;2;adjectives;beautiful;Lesson 2: Adjektive
Museum;Museum;2;places;museum;Lesson 2: Orte
Park;Park;2;places;park;Lesson 2: Orte
Restaurant;Restaurant;2;places;restaurant;Lesson 2: Orte
Cinema;Kino;2;places;cinema;Lesson 2: Orte
Holiday;Urlaub;3;holiday;holiday;Lesson 3: Urlaub
Weekend;Wochenende;3;holiday;weekend;Lesson 3: Urlaub
To go - Went;Gehen - Ging;3;verbs;to go - went;Lesson 3: Verben
To have - Had;Haben - Hate;3;verbs;to have - had;Lesson 3: Verben
To do - Did;Machen - Machte;3;verbs;to do - did;Lesson 3: Verben
To see - Saw;Sehen - Sah;3;verbs;to see - saw;Lesson 3: Verben
To eat - Ate;Essen - Aß;3;verbs;to eat - ate;Lesson 3: Verben
Trip;Ausflug;3;holiday;trip;Lesson 3: Urlaub
Fun;Spaß;3;feelings;fun;Lesson 3: Gefühle
Visit;Besuchen;3;verbs;visit;Lesson 3: Aktivität
Tomorrow;Morgen;4;time;tomorrow;Lesson 4: Zukunft
Next week;Nächste Woche;4;time;next week;Lesson 4: Zukunft
Next month;Nächsten Monat;4;time;next month;Lesson 4: Zukunft
In two days;In zwei Tagen;4;time;in two days;Lesson 4: Zukunft
Plan;Plan / Planen;4;planning;plan;Lesson 4: Planung
Going to;Werden (Zukunftsplan);4;grammar;going to;Lesson 4: Grammatik
Travel;Reisen;4;travel;travel;Lesson 4: Reise
Stay;Bleiben / Übernachten;4;travel;stay;Lesson 4: Reise
Hotel;Hotel;4;travel;hotel;Lesson 4: Reise
Ticket;Ticket / Fahrkarte;4;travel;ticket;Lesson 4: Reise
Train;Zug;5;transport;train;Lesson 5: Transport
Bus;Bus;5;transport;bus;Lesson 5: Transport
Plane / Flight;Flugzeug / Flug;5;transport;plane / flight;Lesson 5: Transport
Airport;Flughafen;5;places;airport;Lesson 5: Orte
Station;Bahnhof;5;places;station;Lesson 5: Orte
To;Zu / Nach;5;prepositions;to;Lesson 5: Präpositionen
From;Von / Aus;5;prepositions;from;Lesson 5: Präpositionen
Into;Hinein;5;prepositions;into;Lesson 5: Präpositionen
Come - Came;Kommen - Kam;5;verbs;come - came;Lesson 5: Verben
Fly - Flew;Fliegen - Flog;5;verbs;fly - flew;Lesson 5: Verben
Take - Took;Nehmen - Nahm;5;verbs;take - took;Lesson 5: Verben
Can;Können;6;grammar;can;Lesson 6: Grammatik
Can't / Cannot;Nicht können;6;grammar;can't / cannot;Lesson 6: Grammatik
Swim;Schwimmen;6;skills;swim;Lesson 6: Fähigkeiten
Drive;Fahren (Auto);6;skills;drive;Lesson 6: Fähigkeiten
Cook;Kochen;6;skills;cook;Lesson 6: Fähigkeiten
Speak;Sprechen;6;skills;speak;Lesson 6: Fähigkeiten
Well;Gut (Adverb);6;adverbs;well;Lesson 6: Adverbien
Badly;Schlecht (Adverb);6;adverbs;badly;Lesson 6: Adverbien
Fast / Quickly;Schnell (Adverb);6;adverbs;fast / quickly;Lesson 6: Adverbien
Slowly;Langsam (Adverb);6;adverbs;slowly;Lesson 6: Adverbien
Fruit;Obst;7;food;fruit;Lesson 7: Essen
Vegetables;Gemüse;7;food;vegetables;Lesson 7: Essen
Meat;Fleisch;7;food;meat;Lesson 7: Essen
Fish;Fisch;7;food;fish;Lesson 7: Essen
Bottle;Flasche;7;containers;bottle;Lesson 7: Behälter
Box;Schachtel / Box;7;containers;box;Lesson 7: Behälter
Cup;Tasse;7;containers;cup;Lesson 7: Behälter
Some;Etwas / Ein paar;7;grammar;some;Lesson 7: Grammatik
Any;Irgendwelche / Keinerlei;7;grammar;any;Lesson 7: Grammatik
Order;Bestellen;7;verbs;order;Lesson 7: Restaurant
Cheap;Billig;8;adjectives;cheap;Lesson 8: Adjektive
Expensive;Teuer;8;adjectives;expensive;Lesson 8: Adjektive
Cheaper;Billiger;8;grammar;cheaper;Lesson 8: Vergleich
More expensive;Teurer;8;grammar;more expensive;Lesson 8: Vergleich
Bigger;Größer;8;grammar;bigger;Lesson 8: Vergleich
Smaller;Kleiner;8;grammar;smaller;Lesson 8: Vergleich
Better;Besser;8;grammar;better;Lesson 8: Vergleich
Worse;Schlechter;8;grammar;worse;Lesson 8: Vergleich
Than;Als (im Vergleich);8;grammar;than;Lesson 8: Grammatik
City;Stadt;8;places;city;Lesson 8: Stadt
