Front;Back;LessonID;TopicTags;Family;Category
Ever;Jemals;1;grammar;ever;Lesson 1: Erfahrung
Never;Niemals;1;grammar;never;Lesson 1: Erfahrung
Already;Schon / Bereits;1;grammar;already;Lesson 1: Erfahrung
Yet;Noch (in Fragen/Verneinung);1;grammar;yet;Lesson 1: Erfahrung
Just;Gerade eben;1;grammar;just;Lesson 1: Erfahrung
To marry / Get married;Heiraten;1;life_events;to marry / get married;Lesson 1: Lebensereignisse
To graduate;Abschluss machen;1;life_events;to graduate;Lesson 1: Lebensereignisse
To move (house);Umziehen;1;life_events;to move (house);Lesson 1: Lebensereignisse
Since;Seit (Zeitpunkt);1;grammar;since;Lesson 1: Zeit
For;Seit / Für (Zeitdauer);1;grammar;for;Lesson 1: Zeit
While;Während;2;conjunctions;while;Lesson 2: Geschichte
When;Als (Zeitpunkt);2;conjunctions;when;Lesson 2: Geschichte
Accident;Unfall;2;nouns;accident;Lesson 2: Ereignisse
Suddenly;Plötzlich;2;adverbs;suddenly;Lesson 2: Adverbien
Walk;Laufen / Spazieren;2;verbs;walk;Lesson 2: Verben
Happen;Passieren;2;verbs;happen;Lesson 2: Verben
Adventure;Abenteuer;2;nouns;adventure;Lesson 2: Ereignisse
Scary;Gruselig / Beängstigend;2;adjectives;scary;Lesson 2: Adjektive
Lose - Lost;Verlieren - Verlor;2;verbs;lose - lost;Lesson 2: Verben
Find - Found;Finden - Fand;2;verbs;find - found;Lesson 2: Verben
Enjoy doing;Gerne tun / Genießen;3;grammar;enjoy doing;Lesson 3: Hobbys
Decide to do;Entscheiden zu tun;3;grammar;decide to do;Lesson 3: Entscheidungen
Want to;Wollen;3;grammar;want to;Lesson 3: Wünsche
Interest / Interested in;Interesse / Interessiert an;3;phrases;interest / interested in;Lesson 3: Hobbys
Sport;Sport;3;hobbies;sport;Lesson 3: Hobbys
Music;Musik;3;hobbies;music;Lesson 3: Hobbys
Team;Mannschaft / Team;3;hobbies;team;Lesson 3: Hobbys
Equipment;Ausrüstung;3;nouns;equipment;Lesson 3: Ausrüstung
Join;Beitreten / Mitmachen;3;verbs;join;Lesson 3: Verben
Promise to;Versprechen zu;3;verbs;promise to;Lesson 3: Verben
Will;Werden (Vorhersage/Spontan);4;grammar;will;Lesson 4: Zukunft
Think;Denken / Glauben;4;verbs;think;Lesson 4: Meinung
Hope;Hoffen;4;verbs;hope;Lesson 4: Meinung
Probably;Wahrscheinlich;4;adverbs;probably;Lesson 4: Adverbien
Weather;Wetter;4;weather;weather;Lesson 4: Wetter
Rain;Regen;4;weather;rain;Lesson 4: Wetter
Sun;Sonne;4;weather;sun;Lesson 4: Wetter
Temperature;Temperatur;4;weather;temperature;Lesson 4: Wetter
Environment;Umwelt;4;environment;environment;Lesson 4: Umwelt
Technology;Technologie;4;tech;technology;Lesson 4: Tech
If;Wenn / Falls;5;grammar;if;Lesson 5: Bedingung
Unless;Es sei denn / Wenn nicht;5;grammar;unless;Lesson 5: Bedingung
As soon as;Sobald;5;conjunctions;as soon as;Lesson 5: Zeit
When;Wenn (immer);5;conjunctions;when;Lesson 5: Zeit
Problem;Problem;5;nouns;problem;Lesson 5: Alltag
Solve;Lösen;5;verbs;solve;Lesson 5: Verben
Miss (the bus);Verpassen;5;verbs;miss (the bus);Lesson 5: Verben
Late;Spät;5;adjectives;late;Lesson 5: Adjektive
Result;Ergebnis;5;nouns;result;Lesson 5: Nouns
Consequence;Folge / Konsequenz;5;nouns;consequence;Lesson 5: Nouns
Dream;Traum;6;nouns;dream;Lesson 6: Träume
Imagine;Sich vorstellen;6;verbs;imagine;Lesson 6: Verben
Rich;Reich;6;adjectives;rich;Lesson 6: Adjektive
Poor;Arm;6;adjectives;poor;Lesson 6: Adjektive
Would buy;Würde kaufen;6;grammar;would buy;Lesson 6: Grammatik
Career;Karriere;6;career;career;Lesson 6: Beruf
Job;Job / Beruf;6;career;job;Lesson 6: Beruf
Money;Geld;6;money;money;Lesson 6: Geld
Win - Won;Gewinnen - Gewann;6;verbs;win - won;Lesson 6: Verben
Travel the world;Welt bereisen;6;phrases;travel the world;Lesson 6: Träume
Must;Müssen (persönlich);7;modals;must;Lesson 7: Modalverben
Have to;Müssen (Regel);7;modals;have to;Lesson 7: Modalverben
Should;Sollte (Rat);7;modals;should;Lesson 7: Modalverben
Mustn't;Nicht dürfen (Verbot);7;modals;mustn't;Lesson 7: Modalverben
Don't have to;Nicht müssen (Freiwillig);7;modals;don't have to;Lesson 7: Modalverben
Rule;Regel;7;nouns;rule;Lesson 7: Regeln
Advice;Rat / Ratschlag;7;nouns;advice;Lesson 7: Rat
Doctor;Arzt;7;health;doctor;Lesson 7: Gesundheit
Medicine;Medizin;7;health;medicine;Lesson 7: Gesundheit
Traffic;Verkehr;7;traffic;traffic;Lesson 7: Verkehr
Make - Made;Machen - Gemacht;8;verbs;make - made;Lesson 8: Verben
Produce;Produzieren;8;verbs;produce;Lesson 8: Verben
Build - Built;Bauen - Gebaut;8;verbs;build - built;Lesson 8: Verben
Invent;Erfinden;8;verbs;invent;Lesson 8: Verben
Material;Material;8;materials;material;Lesson 8: Materialien
Paper;Papier;8;materials;paper;Lesson 8: Materialien
Glass;Glas;8;materials;glass;Lesson 8: Materialien
Plastic;Plastik;8;materials;plastic;Lesson 8: Materialien
Is made of;Besteht aus / Ist gemacht aus;8;passive;is made of;Lesson 8: Passiv
Was built;Wurde gebaut;8;passive;was built;Lesson 8: Passiv
Might;Könnte (vielleicht);9;modals;might;Lesson 9: Möglichkeit
May;Könnte / Darf;9;modals;may;Lesson 9: Möglichkeit
Could;Könnte;9;modals;could;Lesson 9: Möglichkeit
Possible;Möglich;9;adjectives;possible;Lesson 9: Adjektive
Impossible;Unmöglich;9;adjectives;impossible;Lesson 9: Adjektive
Explain;Erklären;9;verbs;explain;Lesson 9: Verben
Reason;Grund;9;nouns;reason;Lesson 9: Nouns
Fact;Fakt / Tatsache;9;nouns;fact;Lesson 9: Nouns
Mystery;Rätsel / Mysterium;9;nouns;mystery;Lesson 9: Nouns
Science;Wissenschaft;9;nouns;science;Lesson 9: Nouns
Who;Der/Die/Das (Personen);10;grammar;who;Lesson 10: Relativsätze
Which;Der/Die/Das (Dinge);10;grammar;which;Lesson 10: Relativsätze
That;Der/Die/Das (Alles);10;grammar;that;Lesson 10: Relativsätze
Person;Person;10;nouns;person;Lesson 10: Nouns
Thing / Object;Ding / Objekt;10;nouns;thing / object;Lesson 10: Nouns
Place;Ort;10;nouns;place;Lesson 10: Nouns
Where;Wo (Ort);10;grammar;where;Lesson 10: Relativsätze
Neighbor;Nachbar;10;people;neighbor;Lesson 10: Personen
Colleague;Kollege;10;people;colleague;Lesson 10: Personen
Machine;Maschine;10;objects;machine;Lesson 10: Objekte
Say - Said;Sagen - Sagte;11;verbs;say - said;Lesson 11: Kommunikation
Tell - Told;Erzählen - Erzählte;11;verbs;tell - told;Lesson 11: Kommunikation
Ask - Asked;Fragen - Fragte;11;verbs;ask - asked;Lesson 11: Kommunikation
Answer;Antworten;11;verbs;answer;Lesson 11: Kommunikation
