Front;Back;LessonID;TopicTags;Family
Ubiquitous;Allgegenwärtig;1;common,adjectives;ubiquitous
Ephemeral;Flüchtig;1;time,adjectives;ephemeral
Serendipity;Glücklicher Zufall;1;nouns;serendipity
Alacrity;Bereitwilligkeit;1;attitude,nouns;alacrity
Vicarious;Stellvertretend (nachempfunden);1;feelings,adjectives;vicarious
Hitherto;Bisher;2;formal,adverbs;hitherto
Aforementioned;Vorgenannt;2;formal,adjectives;aforementioned
Herewith;Hiermit;2;formal,adverbs;herewith
Notwithstanding;Ungeachtet dessen;2;formal,conjunctions;notwithstanding
Albeit;Obgleich;2;formal,conjunctions;albeit
Inextricable;Untrennbar;3;complexity,adjectives;inextricable
Labyrinthine;Labyrinthartig / Verworren;3;complexity,adjectives;labyrinthine
Esoteric;Esoterisch / Geheim;3;complexity,adjectives;esoteric
Arcane;Geheimnisvoll / Arkan;3;complexity,adjectives;arcane
Conundrum;Rätsel / Scherzfrage;3;complexity,nouns;conundrum
Rhetorical;Rhetorisch;4;rhetoric,adjectives;rhetorical
Hyperbole;Hyperbel / Übertreibung;4;rhetoric,nouns;hyperbole
Litotes;Litotes (Untertreibung);4;rhetoric,nouns;litotes
Synecdoche;Synekdoche;4;rhetoric,nouns;synecdoche
Anaphora;Anapher;4;rhetoric,nouns;anaphora
Facetious;Scherzhaft / Witzig;5;humor,adjectives;facetious
Wry;Trocken (Humor);5;humor,adjectives;wry
Sardonic;Sardonisch / Hämisch;5;humor,adjectives;sardonic
Droll;Drollig / Spaßig;5;humor,adjectives;droll
Whimsical;Grillenhaft / Launisch;5;humor,adjectives;whimsical
Thy;Dein (veraltet);6;archaic,pronouns;thy
Thine;Dein (veraltet);6;archaic,pronouns;thine
Hath;Hat (veraltet);6;archaic,verbs;hath
Dost;Tust (veraltet);6;archaic,verbs;dost
Betwixt;Dazwischen (veraltet);6;archaic,prepositions;betwixt
Nullify;Annullieren;7;law,verbs;nullify
Ratify;Ratifizieren;7;law,verbs;ratify
Clause;Klausel;7;law,nouns;clause
Plaintiff;Kläger;7;law,nouns;plaintiff
Defendant;Angeklagter;7;law,nouns;defendant
Mitigation;Milderung;8;crisis,nouns;mitigation
Contingency;Eventualität;8;crisis,nouns;contingency
Exacerbate;Verschlimmern;8;crisis,verbs;exacerbate
Alleviate;Lindern;8;crisis,verbs;alleviate
Debacle;Debakel;8;crisis,nouns;debacle
Paradigm;Paradigma;9;academic,nouns;paradigm
Epistemology;Epistemologie / Erkenntnistheorie;9;academic,nouns;epistemology
Ontology;Ontologie;9;academic,nouns;ontology
Methodology;Methodik;9;academic,nouns;methodology
